,LA_DEFENSE,CHAMPIGNY-SUR-MARNE,Avenue_des_Champs_Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS_7ème,PARIS_12ème,PARIS_13ème,PARIS_18ème,Zone_rurale_Sud-Est_-_Forêt_de_Fontainebleau,Zone_rurale_Sud-Ouest_-_Forêt_de_Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard_Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route_nationale_2_-_PANTIN,Route_Nationale_6_-_MELUN,PARIS_1er_Les_Halles,Paris_stade_Lenglen,Boulevard_Soult,Place_de_l'Opéra,RN20_Montlhéry,Boulevard_Périphérique_Est,ARGENTEUIL,AUBERVILLIERS,Boulevard_Péripherique_Auteuil,Autoroute_A1_-_Saint-Denis,Place_Victor_Basch,BOBIGNY,Rue_Bonaparte,Quai_des_Célestins,Tour_Eiffel_3ème_étage,OBJECTID
,DEF,CHAMP,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,PA01H,PA15L,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,EIFF3,0
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,1
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,3
2019-01-01 01:00:00Z,1.300000,0.800000,17.200000,1.300000,1.200000,0.700000,1.300000,4.900000,,1.600000,8,8.500000,5.600000,0,5,0.200000,2.100000,1,2.600000,24.600000,0.300000,0.400000,1.300000,14.900000,22.500000,,0,6.900000,103.600000,79.700000,7.500000,2.100000,0.700000,218.700000,131.200000,,0.500000,83.400000,48.900000,0.700000,4
2019-01-01 02:00:00Z,0.500000,1,65.100000,0.800000,0.500000,0.500000,1.100000,5.600000,,1.700000,6.300000,5.500000,5.100000,0,5.400000,0.500000,2.500000,0.900000,2.300000,21.700000,0,0.600000,1.400000,17,13.500000,,0.200000,8.300000,54,63.200000,5.300000,2.100000,0.300000,170.800000,111.500000,,0.400000,60.700000,61.100000,0.600000,5
2019-01-01 03:00:00Z,0.700000,1.200000,39.500000,1,0.600000,0.600000,1.500000,7.600000,,1.800000,7,3.600000,4.900000,0,3.300000,0.800000,2.700000,0.800000,2.300000,29.800000,0.200000,1,0.700000,19.400000,14.900000,,0,8.100000,43.600000,73.800000,7.200000,1.900000,0.100000,183.500000,214.300000,,0.600000,103.200000,70.400000,0.900000,6
2019-01-01 04:00:00Z,0.700000,2.200000,31.900000,1,0.700000,0.400000,0.900000,7.900000,,2.400000,11.500000,3.400000,3.700000,0,2.800000,0,1,1.200000,2.800000,31.800000,0.300000,0.800000,1,16.200000,9.600000,,0,4.700000,36,78.600000,4,2.600000,0.200000,175.900000,248,,0.400000,29.700000,38.600000,0.800000,7
2019-01-01 05:00:00Z,1,0.500000,25.800000,1.100000,1,0.700000,0.900000,5.500000,,2.900000,6.500000,2.800000,3.400000,0,3,0.100000,0,0.600000,2.500000,26.200000,0.100000,0.300000,0.600000,14.300000,15.700000,,0,1.100000,31.900000,61.100000,3.300000,8.500000,0.100000,141.800000,237.200000,,0.400000,39,46.400000,0.400000,8
2019-01-01 06:00:00Z,0.900000,1.500000,33.400000,1.100000,1.100000,1,0.600000,5.700000,,2.500000,9.500000,3.300000,3.200000,0,3.400000,0.200000,0,1.100000,2.300000,17.300000,0.300000,0.700000,1.600000,20.200000,11.800000,,0,2.500000,27.300000,64.400000,6.400000,3,0.500000,138.600000,163.400000,,0.600000,11.300000,38.600000,0.500000,9
2019-01-01 07:00:00Z,0.700000,1.700000,17.600000,2.800000,0.900000,0.600000,1.100000,4.200000,,3.400000,4.900000,3.600000,2.900000,0,3.700000,0.100000,0.700000,1.100000,3,4.600000,0.800000,0.600000,2.700000,10.800000,18,,0,0.300000,22.100000,55.600000,2.500000,5.300000,0.100000,85.700000,97.200000,,0.500000,1,25.100000,0.700000,10
2019-01-01 08:00:00Z,0.700000,0.900000,11.900000,1.200000,1.800000,0.700000,0.700000,3.200000,,2.700000,5,2.700000,3.500000,0,3.700000,0.200000,1.500000,1.200000,6.300000,5.100000,0.500000,0.600000,2.800000,7.700000,16.400000,,0,0.200000,23,56.900000,2.100000,1.700000,0.100000,60.500000,96.100000,,0.400000,7.300000,22.500000,0.500000,11
2019-01-01 09:00:00Z,0.500000,1.100000,16.300000,1.400000,1,0.700000,1.600000,4.900000,,2.800000,5.200000,5,3.100000,0,4.700000,0.200000,1,1.200000,4.900000,2.500000,0.400000,1.200000,1.800000,11.100000,13,,0,0.400000,21.500000,57.900000,2,0.900000,0.300000,44.300000,35.300000,,0.700000,1.800000,25.300000,0.600000,12
2019-01-01 10:00:00Z,0.800000,1.100000,25.700000,1.300000,0.900000,0.600000,1.500000,3.400000,,1.900000,4.800000,6.100000,3.500000,0,4.600000,0.100000,3.300000,0.400000,2.400000,3.500000,0.600000,0.900000,1.300000,13.500000,15.600000,,0,1.300000,37.400000,60.200000,4.700000,1.400000,0.200000,48.500000,46.500000,,0.800000,6.500000,17.300000,0.200000,13
2019-01-01 11:00:00Z,0.600000,1.100000,26.500000,0.900000,0.800000,1,1.900000,3.700000,,3.400000,6.200000,6.500000,2.700000,0,3.500000,0.100000,2.500000,0.700000,2.600000,4.400000,0.700000,0.800000,2,12.800000,26,,0,3.100000,35.700000,78.100000,9.600000,1.400000,0.100000,70.100000,49.800000,,0.700000,9.300000,22.200000,1.400000,14
