#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2019-01-01,9,7,9,7,8,9,1,86,9,1036,92.875,9,7,6,176,176,176,0,1,3.2,météo défavorable
2019-01-02,8,5,12,5,6,7,0.3,76,10,1041,34.5,8,4,2,116,116,119,0,1,6.9,météo très défavorable
2019-01-03,7,3,10,3,5,6,0,83,10,1041,19.875,7,2,1,116,116,116,0,1,8.6,météo très défavorable
2019-01-04,6,2,8,2,4,4,0,89,10,1041,38.625,6,2,-0,116,116,116,0,1,8.6,météo très défavorable
2019-01-05,6,3,10,3,5,6,0,83,10,1040,78.25,6,3,1,119,122,119,0,1,3.2,météo très défavorable
2019-01-06,5,4,6,4,5,3,0.4,88,9,1037,99,5,4,2,122,122,176,0,1,3.3,météo très défavorable
2019-01-07,7,5,10,5,6,5,0.4,91,10,1036,92.5,7,6,4,176,122,122,0,1,3.3,météo très défavorable
2019-01-08,9,7,17,9,8,7,0.9,85,8,1031,79.75,9,7,4,266,116,353,0,1,5.1,météo défavorable
2019-01-09,7,5,22,5,6,6,0.6,73,10,1026,56.75,7,1,1,116,353,353,0,1,3.3,météo très défavorable
2019-01-10,5,2,13,2,4,5,0,73,10,1029,40.75,5,0,-1,116,116,119,0,1,8.7,météo très défavorable
2019-01-11,7,4,9,3,5,7,0.7,95,6.375,1029,91.125,7,6,2,119,266,176,0,1,3.3,météo très défavorable
2019-01-12,7,5,18,5,6,6,3.4,92,6.875,1030,89,8,7,3,176,176,266,0,1,3.3,météo très défavorable
2019-01-13,10,10,25,9,10,10,2.1,86,5.625,1022,99.875,10,8,7,266,122,176,0,1,3.3,météo défavorable
2019-01-14,9,8,16,8,8,8,2,73,9.875,1023,86.5,10,6,5,176,176,176,0,1,3.3,météo défavorable
2019-01-15,8,7,10,7,7,8,0.6,80,10,1024,88.875,8,5,5,176,119,119,0,1,3.3,météo très défavorable
2019-01-16,7,4,18,4,6,6,0.2,78,10,1020,65.25,7,4,1,119,122,116,0,1,6.9,météo très défavorable
